Year;Consumer Films;Consumer Bags;Consumer Bottles;Other Consumer Packaging;Non Consumer Bags;Other Non Consumer Films;Other Non Consumer Packaging;Pipes and Ducts;Insulation;Wall and Floor Coverings;Windows, Profiles and Fitted Furniture;Lining;Building Packaging Films;Building Textiles;Geotextiles;Agricultural Packaging Films;Agricultural Packaging Bottles;Agricultural Films;Agricultural Pipes;Other Agricultural Plastics;Agrotextiles;Automotive;Mobility Textiles;Electrical and Electronic Equipment;Household Plastics;Furniture;Personal Care and Cosmetic Products;Other Plastic Products;Hygiene and Medical Textiles;Clothing;Technical Clothing;Household Textiles;Technical Household Textiles;Fabric Coatings;Other Technical Textiles
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
